name,processor,operating_sys,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Display_cm,Display_inch,Warranty_Years,Price
APPLE 2023 MacBook Pro M2 Pro - (16 GB/1 TB SSD/macOS Ventura) MNW93HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,40.64,16,1,269900
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MK193HN/A,Apple M1 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,41.15,16.2,,259900
APPLE 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MK1F3HN/A,Apple M1 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,41.15,16.2,,259900
ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2070) m1...,NVIDIA GeForce RTX 2070,Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance,,,,,,,,250000
ASUS ProArt Studiobook 16 OLED (2022) with ASUS Dial Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Hom...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,249990
MSI Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4070) Vector G...,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,32,DDR5,1024,SSD,43.94,17.3,2,249990
APPLE 2023 MacBook Pro M2 Pro - (16 GB/1 TB SSD/macOS Ventura) MPHJ3HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,35.56,14,1,249900
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MNWC3HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,512,SSD,40.64,16,1,249900
ASUS ROG Flow X13 (2022) with Radeon RX 6850M XT eGPU Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windo...,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,LPDDR5,1024,SSD,34.04,13.4,1,247990
DELL Allienware Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,35.56,14,1,246490
DELL Allienware Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,246490
Lenovo ThinkPad X1 Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home) X1 Carbon 7th Gen 2 in 1 Lapt...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,16,DDR3,512,SSD,35.56,14,1,245000
MSI Raider GE66 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 30...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,2,244990
Lenovo Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Pro/2 GB Graphics) Thinkpad P43s Thin and Light ...,Intel Core i7 Processor (8th Gen),64 bit Windows 10 Operating System,16,DDR4,512,SSD,35.56,14,3,244801
ASUS ROG Zephyrus M16 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,241990
ASUS ROG Zephyrus M16 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,241990
ASUS ROG Flow X13 with RTX 3080 eGPU Ryzen 9 Octa Core AMD R9-5980HS - (32 GB/1 TB SSD/Windows 10 Home...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 Operating System,32,LPDDR4X,1024,SSD,34.04,13.4,,239990
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MNW83HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,512,SSD,40.64,16,1,239990
APPLE 2023 MacBook Pro M2 Pro - (16 GB/1 TB SSD/macOS Ventura) MPHF3HN/A,Apple M2 Pro Processor,Mac OS Operating System,16,Unified Memory,1024,SSD,35.56,14,1,239990
ASUS ProArt Studiobook 16 OLED (2022) with ASUS Dial Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Hom...,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,239990
APPLE 2021 Macbook Pro M1 Pro - (16 GB/512 GB SSD/Mac OS Monterey) MK1E3HN/A,Apple M1 Pro Processor,Mac OS Operating System,16,Unified Memory,512,SSD,41.15,16.2,,239900
